Interval=	0.01 s
ExcelDateTime=	4.5855649139942347e+04	07/17/25 15:34:45.691019
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	Flow BIS	Inspi cyclic	Expi cyclic	L/m -> L/s	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	64.18 L/min	1.1000 	1.1000 	1.07 L/s	1.00 L/s.s
UnitName=	*		*	cmH2O	*	*	*	*	*
TopValue=	*	148.52	*	3523.71	*	*	*	*	*
BottomValue=	*	-163.55	*	-3491.41	*	*	*	*	*
0.96	3.202633	-36.66615	0.6150781	12.5368	-36.66615	1.469056e-08	1.469056e-08	-0.6111025	-0.3430376
0.97	3.125133	-36.22417	0.06257812	12.47431	-36.22417	1.469056e-08	1.469056e-08	-0.6037361	-0.3491109
0.98	3.123727	-35.79722	0.5844531	12.41453	-35.79722	1.469056e-08	1.469056e-08	-0.5966203	-0.3551114
0.99	3.062758	-35.38579	0.03945313	12.35744	-35.38579	1.469056e-08	1.469056e-08	-0.5897632	-0.3610424
1	3.202383	-34.98466	0.5979688	12.30235	-34.98466	1.469056e-08	1.469056e-08	-0.5830777	-0.3669055
1.01	3.202633	-34.5939	0.08164063	12.24921	-34.5939	1.469056e-08	1.469056e-08	-0.5765649	-0.3727029
1.02	3.202633	-34.20724	0.6399219	12.1971	-34.20724	1.469056e-08	1.469056e-08	-0.5701207	-0.3784354
1.03	3.202648	-33.82592	0.1024219	12.14609	-33.82592	1.469056e-08	1.469056e-08	-0.5637653	-0.3841041
1.04	3.202687	-33.4443	0.636875	12.09515	-33.4443	1.469056e-08	1.469056e-08	-0.557405	-0.389709
1.05	3.202492	-33.066	0.099375	12.04451	-33.066	1.469056e-08	1.469056e-08	-0.5511	-0.3952508
1.06	3.202656	-32.68656	0.6469531	11.99317	-32.68656	1.469056e-08	1.469056e-08	-0.544776	-0.4007293
1.07	3.202664	-32.31177	0.1215625	11.94162	-32.31178	1.469056e-08	1.469056e-08	-0.5385296	-0.4061451
1.08	3.202625	-31.93779	0.6778906	11.88907	-31.93779	1.469056e-08	1.469056e-08	-0.5322965	-0.4114983
1.09	3.20268	-31.57148	0.1535156	11.83639	-31.57148	1.469056e-08	1.469056e-08	-0.5261913	-0.41679
1.1	3.202656	-31.20823	0.7024219	11.78315	-31.20823	1.469056e-08	1.469056e-08	-0.5201371	-0.4220207
1.11	3.20268	-30.85466	0.17875	11.7306	-30.85466	1.469056e-08	1.469056e-08	-0.5142444	-0.4271919
1.12	3.202648	-30.50454	0.7220313	11.67872	-30.50454	1.469056e-08	1.469056e-08	-0.508409	-0.4323042
1.13	3.202609	-30.16393	0.1775	11.62903	-30.16393	1.469056e-08	1.469056e-08	-0.5027322	-0.4373592
1.14	3.202711	-29.82505	0.710625	11.58176	-29.82505	1.469056e-08	1.469056e-08	-0.4970841	-0.4423574
1.15	3.202726	-29.49361	0.1522656	11.53842	-29.49361	1.469056e-08	1.469056e-08	-0.4915603	-0.4473
1.16	3.202648	-29.1607	0.6744531	11.49916	-29.1607	1.469056e-08	1.469056e-08	-0.4860116	-0.4521871
1.17	3.202687	-28.83225	0.1265625	11.46514	-28.83225	1.469056e-08	1.469056e-08	-0.4805376	-0.4570192
1.18	3.202648	-28.49927	0.663125	11.4361	-28.49926	1.469056e-08	1.469056e-08	-0.4749878	-0.4617961
1.19	3.202672	-28.16885	0.1088281	11.4126	-28.16885	1.469056e-08	1.469056e-08	-0.4694808	-0.4665178
1.2	3.202664	-27.83259	0.641875	11.39375	-27.83259	1.469056e-08	1.469056e-08	-0.4638764	-0.4711839
1.21	3.202672	-27.49877	0.09578125	11.37948	-27.49877	1.469056e-08	1.469056e-08	-0.4583129	-0.4757942
1.22	3.202586	-27.15958	0.6222656	11.36827	-27.15958	1.469056e-08	1.469056e-08	-0.4526597	-0.4803483
1.23	3.202664	-26.82437	0.07585937	11.35959	-26.82437	1.469056e-08	1.469056e-08	-0.4470728	-0.4848463
1.24	3.202563	-26.48554	0.6047656	11.3516	-26.48554	1.469056e-08	1.469056e-08	-0.4414256	-0.489288
1.25	3.202664	-26.15285	0.06179687	11.3437	-26.15286	1.469056e-08	1.469056e-08	-0.4358809	-0.4936739
1.26	3.202695	-25.81824	0.5867969	11.33414	-25.81824	1.469056e-08	1.469056e-08	-0.4303041	-0.4980041
1.27	3.202711	-25.49111	0.0528125	11.32261	-25.49111	1.469056e-08	1.469056e-08	-0.4248519	-0.5022791
1.28	3.202656	-25.1625	0.6091406	11.30776	-25.1625	1.469056e-08	1.469056e-08	-0.419375	-0.5064995
1.29	3.202625	-24.84129	0.09226562	11.28977	-24.84129	1.469056e-08	1.469056e-08	-0.4140216	-0.5106658
1.3	3.202609	-24.51801	0.6360156	11.26784	-24.518	1.469056e-08	1.469056e-08	-0.4086334	-0.5147783
1.31	3.202625	-24.20129	0.10625	11.24265	-24.20129	1.469056e-08	1.469056e-08	-0.4033548	-0.5188376
1.32	3.20268	-23.88189	0.651875	11.21391	-23.88189	1.469056e-08	1.469056e-08	-0.3980316	-0.5228439
1.33	3.20268	-23.56862	0.1139844	11.18277	-23.56861	1.469056e-08	1.469056e-08	-0.3928102	-0.5267974
1.34	3.202625	-23.25303	0.6420312	11.14935	-23.25303	1.469056e-08	1.469056e-08	-0.3875506	-0.5306985
1.35	3.202656	-22.94413	0.1076563	11.1151	-22.94413	1.469056e-08	1.469056e-08	-0.3824022	-0.5345476
1.36	3.202758	-22.63448	0.6473437	11.08042	-22.63448	1.469056e-08	1.469056e-08	-0.3772414	-0.5383451
1.37	3.202648	-22.33305	0.1139063	11.04692	-22.33305	1.469056e-08	1.469056e-08	-0.3722175	-0.5420917
1.38	3.202563	-22.03317	0.6486719	11.01502	-22.03317	1.469056e-08	1.469056e-08	-0.3672194	-0.5457882
1.39	3.202687	-21.74331	0.1211719	10.98619	-21.74331	1.469056e-08	1.469056e-08	-0.3623885	-0.5494355
1.4	3.202656	-21.45719	0.656875	10.96051	-21.45719	1.469056e-08	1.469056e-08	-0.3576198	-0.5530349
1.41	3.202742	-21.18248	0.1176563	10.93893	-21.18248	1.469056e-08	1.469056e-08	-0.3530412	-0.5565875
1.42	3.202586	-20.91292	0.6532813	10.92092	-20.91292	1.469056e-08	1.469056e-08	-0.3485487	-0.5600948
1.43	3.202664	-20.6551	0.1178125	10.90668	-20.6551	1.469056e-08	1.469056e-08	-0.3442516	-0.5635581
1.44	3.202672	-20.40268	0.6475781	10.8951	-20.40268	1.469056e-08	1.469056e-08	-0.3400446	-0.566979
1.45	3.202586	-20.16114	0.1016406	10.88584	-20.16114	1.469056e-08	1.469056e-08	-0.336019	-0.5703587
1.46	3.202617	-19.92422	0.6445312	10.87763	-19.92422	1.469056e-08	1.469056e-08	-0.3320704	-0.5736986
1.47	3.202672	-19.69641	0.1130469	10.87008	-19.69641	1.469056e-08	1.469056e-08	-0.3282735	-0.5769997
1.48	3.202641	-19.4718	0.6494531	10.86239	-19.4718	1.469056e-08	1.469056e-08	-0.32453	-0.5802632
1.49	3.202633	-19.25434	0.1177344	10.85468	-19.25434	1.469056e-08	1.469056e-08	-0.3209056	-0.5834898
1.5	3.202633	-19.03899	0.6560156	10.84691	-19.03899	1.469056e-08	1.469056e-08	-0.3173166	-0.5866804
1.51	3.202641	-18.82966	0.1161719	10.83978	-18.82966	1.469056e-08	1.469056e-08	-0.3138276	-0.5898357
1.52	3.202672	-18.62249	0.6478125	10.83376	-18.62249	1.469056e-08	1.469056e-08	-0.3103749	-0.5929562
1.53	3.202609	-18.42134	0.1022656	10.82966	-18.42134	1.469056e-08	1.469056e-08	-0.3070224	-0.5960427
1.54	3.202687	-18.22309	0.6267188	10.82774	-18.22309	1.469056e-08	1.469056e-08	-0.3037182	-0.599096
1.55	3.20268	-18.03073	0.08648437	10.82821	-18.03073	1.469056e-08	1.469056e-08	-0.3005121	-0.6021166
1.56	3.202609	-17.84071	0.6219531	10.83055	-17.84071	1.469056e-08	1.469056e-08	-0.2973452	-0.6051055
1.57	3.202687	-17.65402	0.0915625	10.83395	-17.65402	1.469056e-08	1.469056e-08	-0.2942337	-0.608063
1.58	3.202719	-17.46593	0.6209375	10.83709	-17.46593	1.469056e-08	1.469056e-08	-0.2910989	-0.6109893
1.59	3.088852	-17.27524	0.08046875	10.83852	-17.27524	1.469056e-08	1.469056e-08	-0.2879207	-0.613884
1.6	3.125156	-17.07668	0.6107812	10.83686	-17.07668	1.469056e-08	1.469056e-08	-0.2846114	-0.6167464
1.61	3.124203	-16.86822	0.06984375	10.8309	-16.86822	1.469056e-08	1.469056e-08	-0.281137	-0.6195749
1.62	3.202375	-16.64596	0.6083594	10.82015	-16.64595	1.469056e-08	1.469056e-08	-0.2774326	-0.6223675
1.63	3.202508	-16.40954	0.07109375	10.80455	-16.40954	1.469056e-08	1.469056e-08	-0.2734923	-0.6251218
1.64	3.202602	-16.15865	0.61125	10.78495	-16.15865	1.469056e-08	1.469056e-08	-0.2693108	-0.6278355
1.65	3.20257	-15.89677	0.08625	10.76262	-15.89677	1.469056e-08	1.469056e-08	-0.2649462	-0.6305063
1.66	3.202664	-15.6278	0.63125	10.73936	-15.6278	1.469056e-08	1.469056e-08	-0.2604633	-0.6331329
1.67	3.20257	-15.35894	0.09859375	10.71715	-15.35894	1.469056e-08	1.469056e-08	-0.2559823	-0.6357144
1.68	3.202664	-15.09639	0.6453125	10.69774	-15.0964	1.469056e-08	1.469056e-08	-0.2516066	-0.6382518
1.69	3.20268	-14.84856	0.1164063	10.68279	-14.84856	1.469056e-08	1.469056e-08	-0.247476	-0.6407464
1.7	3.202641	-14.62064	0.6682813	10.67308	-14.62064	1.469056e-08	1.469056e-08	-0.2436774	-0.6432014
1.71	3.202648	-14.41881	0.1484375	10.66916	-14.41881	1.469056e-08	1.469056e-08	-0.2403135	-0.6456205
1.72	3.202656	-14.24452	0.6825781	10.67047	-14.24452	1.469056e-08	1.469056e-08	-0.2374086	-0.6480084
1.73	3.202664	-14.09952	0.1492188	10.67625	-14.09952	1.469056e-08	1.469056e-08	-0.2349919	-0.6503697
1.74	3.202703	-13.98087	0.684375	10.68494	-13.98087	1.469056e-08	1.469056e-08	-0.2330145	-0.6527091
1.75	3.202578	-13.88604	0.1457813	10.6949	-13.88604	1.469056e-08	1.469056e-08	-0.231434	-0.6550309
1.76	3.202656	-13.80949	0.6757812	10.70435	-13.80949	1.469056e-08	1.469056e-08	-0.2301581	-0.6573385
1.77	3.202602	-13.74676	0.1382812	10.71163	-13.74675	1.469056e-08	1.469056e-08	-0.2291126	-0.6596345
1.78	3.202625	-13.69275	0.6596875	10.71558	-13.69275	1.469056e-08	1.469056e-08	-0.2282125	-0.6619209
