Interval=	0.001 s
ExcelDateTime=	4.5847400977275240e+004	09/07/2025 9:37:24.43658
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	1.00 L/s.s
UnitName=	*	L/min	*	cmH2O	*
TopValue=	*	138.18	*	3526.16	*
BottomValue=	*	-135.94	*	-3491.39	*
0.074	3.200547	-4.301317	0.3578125	16.37238	-0.006428004
0.075	3.200859	-4.301318	0.5554688	16.3998	-0.006499692
0.076	3.200469	-4.301318	0.7296875	16.3998	-0.006571381
0.077	3.200234	-4.301317	0.8195313	16.37238	-0.00664307
0.078	3.200703	-4.301317	0.8632813	16.20791	-0.006714758
0.079	3.200625	-4.301317	0.8234375	16.34497	-0.006786447
0.08	3.200547	-4.301317	0.7289063	16.45462	-0.006858136
0.081	3.200547	-4.301317	0.6046875	16.48203	-0.006929824
0.082	3.200938	-4.301318	0.4242188	16.53686	-0.007001512
0.083	3.200391	-4.301318	0.2015625	16.50945	-0.007073201
0.084	3.200469	-4.301318	-0.02578125	16.53686	-0.00714489
0.085	3.200859	-4.301318	-0.253125	16.64651	-0.007216578
0.086	3.200625	-4.301318	-0.43125	16.70133	-0.007288267
0.087	3.200625	-4.301318	-0.5203125	16.50945	-0.007359956
0.088	3.200703	-4.301312	-0.5453125	16.53686	-0.007431644
0.089	3.200703	-4.301301	-0.5164063	16.48203	-0.007503332
0.09	3.200703	-4.301327	-0.4273438	16.42721	-0.007575021
0.091	3.201094	-4.301388	-0.2828125	16.45462	-0.007646711
0.092	3.201016	-4.301358	-0.1054688	16.48203	-0.0077184
0.093	3.201016	-4.301176	0.1265625	16.48203	-0.007790088
0.094	3.200391	-4.301088	0.3539063	16.34497	-0.007861773
0.095	3.200703	-4.301518	0.5640625	16.45462	-0.007933461
0.096	3.200625	-4.302459	0.7210938	16.48203	-0.008005163
0.097	3.200781	-4.303273	0.8226563	16.53686	-0.00807688
0.098	3.200625	-4.30334	0.8445313	16.6191	-0.008148603
0.099	3.200391	-4.302552	0.828125	16.59168	-0.008220317
