Interval=	0.001 s
ExcelDateTime=	4.5862649149055105e+004	24/07/2025 15:34:46.478361
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	1.00 L/s.s
UnitName=	*	L/min	*	cmH2O	*
TopValue=	*	175.24	*	3526.16	*
BottomValue=	*	-179.51	*	-3491.39	*
0.096	3.199141	33.89128	-0.00625	12.09607	0.06307177
0.097	3.199063	33.89107	0.06953125	12.09607	0.06363663
0.098	3.133203	33.89105	0.2117188	12.12348	0.06420147
0.099	2.310313	33.89126	0.403125	12.1783	0.06476633
0.1	1.676875	33.89158	0.5867188	12.12348	0.06533119
0.101	1.671484	33.89198	0.6851563	12.26054	0.06589605
0.102	1.949219	33.89247	0.7148438	12.26054	0.06646093
0.103	2.487422	33.89309	0.6796875	12.23313	0.0670258
0.104	2.849141	33.89383	0.5984375	12.34278	0.06759069
0.105	2.877734	33.89468	0.453125	12.26054	0.0681556
0.106	1.910156	33.89563	0.2734375	12.09607	0.06872052
0.107	3.190859	33.89665	0.1085938	12.12348	0.06928546
0.108	3.197422	33.89771	0.04921875	12.1783	0.06985041
0.109	3.198047	33.89879	0.01328125	12.12348	0.07041539
0.11	3.198203	33.89983	-0.01484375	12.12348	0.07098038
0.111	3.198516	33.90076	-0.02578125	12.20571	0.07154538
0.112	3.19875	33.9016	-0.01328125	12.15089	0.07211041
0.113	3.198438	33.90231	-0.03046875	12.06865	0.07267544
0.114	3.198906	33.90279	-0.03203125	12.09607	0.07324048
0.115	3.19875	33.90274	-0.02265625	12.09607	0.07380553
0.116	3.198672	33.90205	-0.01015625	12.06865	0.07437057
0.117	3.199063	33.90089	0.06328125	12.01383	0.0749356
0.118	3.199141	33.89961	0.2171875	12.12348	0.07550059
0.119	3.198906	33.89825	0.4148438	12.06865	0.07606557
0.12	3.199297	33.89667	0.5851563	12.12348	0.07663053
0.121	3.198906	33.89469	0.678125	12.12348	0.07719545
0.122	3.198984	33.89235	0.6992188	12.04124	0.07776034
0.123	3.199375	33.88974	0.6789063	12.01383	0.07832519
0.124	3.199141	33.8869	0.6023438	12.12348	0.07888999
0.125	3.198984	33.88388	0.4460938	12.12348	0.07945474
0.126	3.199063	33.88071	0.2710938	12.20571	0.08001944
