block_name,block,n_cycle,t_inspi,t_expi,t_next_inspi
Block 1,1,1,3.59,4.95,7.15
Block 1,1,2,7.15,8.49,10.809999999999999
Block 1,1,3,10.809999999999999,12.129999999999999,14.33
Block 1,1,4,14.33,15.649999999999999,18.009999999999998
Block 1,1,5,18.009999999999998,19.31,21.75
Block 1,1,6,21.75,22.97,25.45
Block 1,1,7,25.45,26.95,29.189999999999998
Block 1,1,8,29.189999999999998,30.43,32.21
Block 1,1,9,32.21,33.67,35.71
Block 1,1,10,35.71,37.27,39.39
Block 1,1,11,39.39,40.830000000000005,42.85
