n_cycle,t_inspi,t_expi,Ti,Ttot,Te,BF,VT,VE,PIF,PEF,IE,PEEP,Ppeak,Pplat,dP,Cstat,R,MAP
1,1.9300000000000002,2.41,0.48,2.31,1.83,25.974025974025974,0.40034975674999995,10.39869498051948,1.1573516666666668,0.8974046666666666,0.2622950819672131,10.46043,49.19904,,38.738609999999994,,,17.512477121212125
2,4.24,4.72,0.47999999999999954,2.3099999999999996,1.83,25.974025974025977,0.39574417961666675,10.279069600432903,1.1412278333333332,0.922424,0.26229508196721285,10.57384,49.02486,,38.45102,,,17.39539865800866
3,6.55,7.02,0.46999999999999975,2.3,1.83,26.086956521739133,0.3966874821666667,10.348369100000003,1.1383388333333333,0.9468023333333334,0.256830601092896,10.570075,49.52754,,38.957465,,,17.533357586956523
4,8.85,9.33,0.4800000000000004,2.3100000000000005,1.83,25.974025974025967,0.39510081524999996,10.262358837662333,1.1245063333333334,0.9604461666666667,0.26229508196721335,10.556004999999999,49.78465,,39.228645,,,17.498624567099565
5,11.16,11.64,0.4800000000000004,2.3000000000000007,1.8200000000000003,26.086956521739122,0.3963661424999999,10.339986326086951,1.1263478333333334,0.935614,0.2637362637362639,10.504840000000002,50.21294,,39.7081,,,17.59403563043478
6,13.46,13.94,0.47999999999999865,2.3099999999999987,1.83,25.974025974025988,0.40203997174999995,10.442596668831174,1.142045,0.9482713333333332,0.26229508196721235,10.39763,49.56426,,39.16663,,,17.450109177489182
7,15.77,16.25,0.4800000000000004,2.3000000000000007,1.8200000000000003,26.086956521739122,0.3960407747500001,10.33149847173913,1.1297778333333333,0.9230075000000001,0.2637362637362639,10.33685,49.95122,,39.61437,,,17.553422326086956
8,18.07,18.55,0.4800000000000004,2.3099999999999987,1.8299999999999983,25.974025974025988,0.4015335759583334,10.429443531385289,1.143613,0.9372893333333334,0.2622950819672136,10.51851,49.67441,,39.1559,,,17.50640060606061
9,20.38,20.85,0.4700000000000024,2.3000000000000007,1.8299999999999983,26.086956521739122,0.39593398624999987,10.328712684782602,1.1241394999999998,0.9284386666666666,0.25683060109289774,10.461120000000001,49.50446,,39.04334,,,17.461270195652173
10,22.68,23.16,0.4800000000000004,2.3000000000000007,1.8200000000000003,26.086956521739122,0.40038631097249977,10.444860286239122,1.146048,0.9380186666666667,0.2637362637362639,10.541045,49.81935,,39.278305,,,17.523027869565215
11,24.98,25.46,0.4800000000000004,2.3099999999999987,1.8299999999999983,25.974025974025988,0.40024312858333366,10.395925417748932,1.1430345,0.9179628333333334,0.2622950819672136,10.593945,48.9825,,38.388555000000004,,,17.468413722943726
12,27.29,27.77,0.4800000000000004,2.3100000000000023,1.8300000000000018,25.97402597402595,0.3952327640250002,10.265786078571423,1.1347588333333334,0.9311731666666667,0.2622950819672131,10.55172,49.65516,,39.103440000000006,,,17.480323939393937
13,29.6,30.07,0.46999999999999886,2.299999999999997,1.8299999999999983,26.08695652173916,0.3969476522999999,10.355156146956531,1.1405493333333332,0.9561106666666667,0.2568306010928958,10.50458,49.73225,,39.22767,,,17.476463008695656
14,31.9,32.38,0.480000000000004,2.3100000000000023,1.8299999999999983,25.97402597402595,0.3989537359750005,10.362434700649354,1.1437564999999998,0.9367313333333332,0.2622950819672155,10.173645,49.64561,,39.471965,,,17.158943441558435
15,34.21,34.68,0.46999999999999886,2.299999999999997,1.8299999999999983,26.08695652173916,0.39909537175,10.411183610869577,1.1510828333333334,0.9642465,0.2568306010928958,10.147124999999999,49.69894,,39.551815000000005,,,17.411796913043485
16,36.51,36.99,0.480000000000004,2.3100000000000023,1.8299999999999983,25.97402597402595,0.3989929731249994,10.363453847402571,1.1316715,0.9391706666666667,0.2622950819672155,10.31462,49.70399,,39.38937,,,17.450940476190464
17,38.82,39.3,0.4799999999999969,2.299999999999997,1.8200000000000003,26.08695652173916,0.3973340879916667,10.36523707804349,1.1242906666666668,0.9340953333333334,0.26373626373626197,10.453814999999999,50.08047,,39.626655,,,17.496430347826095
18,41.12,41.6,0.480000000000004,2.3100000000000023,1.8299999999999983,25.97402597402595,0.3957537168333339,10.279317320346324,1.1255283333333332,0.9548371666666667,0.2622950819672155,10.35669,50.02238,,39.66569,,,17.512677510822506
19,43.43,43.91,0.4799999999999969,2.299999999999997,1.8200000000000003,26.08695652173916,0.3990600648833336,10.410262562173934,1.1442970000000001,0.9474873333333333,0.26373626373626197,10.524065,50.48659,,39.962525,,,17.603061304347833
20,45.73,46.21,0.480000000000004,2.3100000000000023,1.8299999999999983,25.97402597402595,0.3989583717916664,10.362555111471844,1.1353885000000001,0.9342648333333333,0.2622950819672155,10.653915000000001,49.65126,,38.997344999999996,,,17.47531367965367
21,48.04,48.52,0.480000000000004,2.3100000000000023,1.8299999999999983,25.97402597402595,0.4041210189166663,10.496649841991323,1.1487271666666667,0.9277198333333333,0.2622950819672155,10.35616,49.5344,,39.17824,,,17.245208051948048
22,50.35,50.82,0.46999999999999886,2.299999999999997,1.8299999999999983,26.08695652173916,0.398983576416667,10.408267210869585,1.1321783333333333,0.9186943333333333,0.2568306010928958,10.471975,49.13348,,38.661505,,,17.392347934782617
23,52.65,53.13,0.480000000000004,2.3100000000000023,1.8299999999999983,25.97402597402595,0.39972342541666706,10.382426634199135,1.1408478333333332,0.9263995,0.2622950819672155,10.449290000000001,49.76684,,39.31755,,,17.50383456709956
24,54.96,55.43,0.46999999999999886,2.299999999999997,1.8299999999999983,26.08695652173916,0.4003367681666666,10.443567865217402,1.146223,0.9479565,0.2568306010928958,10.42718,49.66101,,39.23383,,,17.528898978260877
